seqnames_dar,start_dar,end_dar,width_dar,strand_dar,cell_type_dar,logFC_dar,distance,seqnames_degs,start_deg,end_deg,width_deg,strand_deg,cell_type_deg,gene_name,gene_biotype,DAR_deg_overlap,log2FC_deg
chr1,144560551,144561051,501,*,CD4+_T_Cells,-0.314805554,138665,chr1,144419386,144421885,2500,*,CD4+_T_Cells,NBPF15,protein_coding,FALSE,-0.022338722
chr7,47979391,47979891,501,*,CD4+_T_Cells,-0.158049545,106736,chr7,48086628,48089127,2500,*,CD4+_T_Cells,UPP1,protein_coding,FALSE,0.05322436
chr6,26240010,26240510,501,*,CD4+_T_Cells,-0.262332864,5242,chr6,26232268,26234767,2500,*,CD4+_T_Cells,HIST1H1D,protein_coding,FALSE,0.393913798
chr21,42227943,42228443,501,*,CD4+_T_Cells,-0.18055202,173003,chr21,42401447,42403946,2500,*,CD4+_T_Cells,UBASH3A,protein_coding,FALSE,0.025385104
chr10,11149489,11149989,501,*,CD4+_T_Cells,0.265238825,350592,chr10,10796397,10798896,2500,*,CD4+_T_Cells,CELF2,protein_coding,FALSE,-0.024960028
chr11,62840854,62841354,501,*,CD4+_T_Cells,-0.24435618,8012,chr11,62830342,62832841,2500,*,CD4+_T_Cells,WDR74,protein_coding,FALSE,0.026590434
chr17,7132719,7133219,501,*,CD4+_T_Cells,0.394118489,81905,chr17,7215125,7217624,2500,*,CD4+_T_Cells,ACADVL,protein_coding,FALSE,-0.040293884
chr15,33226487,33226987,501,*,CD4+_T_Cells,0.341820993,855029,chr15,34082017,34084516,2500,*,CD4+_T_Cells,EMC7,protein_coding,FALSE,-0.012135962
chr7,75738976,75739476,501,*,CD4+_T_Cells,-0.103788956,101125,chr7,75840602,75843101,2500,*,CD4+_T_Cells,RHBDD2,protein_coding,FALSE,0.041094581
chr5,177370736,177371236,501,*,CD4+_T_Cells,0.369113263,12399,chr5,177355837,177358336,2500,*,CD4+_T_Cells,RGS14,protein_coding,FALSE,-0.036879306
chr2,96145248,96145748,501,*,CD4+_T_Cells,-0.183154057,1582,chr2,96141166,96143665,2500,*,CD4+_T_Cells,DUSP2,protein_coding,TRUE,-0.354797968
chr6,42048556,42049056,501,*,CD4+_T_Cells,0.204373124,113123,chr6,41932933,41935432,2500,*,CD4+_T_Cells,CCND3,protein_coding,FALSE,0.032215667
chr19,17001614,17002114,501,*,CD4+_T_Cells,0.186935086,71666,chr19,17073781,17076280,2500,*,CD4+_T_Cells,MYO9B,protein_coding,FALSE,-0.117183624
chr19,17337216,17337716,501,*,CD4+_T_Cells,-0.128600422,27198,chr19,17307518,17310017,2500,*,CD4+_T_Cells,DDA1,protein_coding,FALSE,0.01271347
chr22,42553591,42554091,501,*,CD4+_T_Cells,-0.274479026,27629,chr22,42581721,42584220,2500,*,CD4+_T_Cells,POLDIP3,protein_coding,FALSE,0.015881921
chr13,106570357,106570857,501,*,CD4+_T_Cells,-0.296583573,28184,chr13,106539673,106542172,2500,*,CD4+_T_Cells,ARGLU1,protein_coding,FALSE,-0.061758619
chr12,93570698,93571198,501,*,CD4+_T_Cells,-0.197406315,164525,chr12,93403673,93406172,2500,*,CD4+_T_Cells,UBE2N,protein_coding,FALSE,0.070750474
chr1,6127659,6128159,501,*,CD4+_T_Cells,0.427133443,135693,chr1,5989466,5991965,2500,*,CD4+_T_Cells,KCNAB2,protein_coding,FALSE,0.027566035
chr4,102630674,102631174,501,*,CD4+_T_Cells,0.246850674,128845,chr4,102499329,102501828,2500,*,CD4+_T_Cells,NFKB1,protein_coding,FALSE,0.102581553
chr2,43225879,43226379,501,*,CD4+_T_Cells,-0.282030321,2977,chr2,43220402,43222901,2500,*,CD4+_T_Cells,ZFP36L2,protein_coding,FALSE,-0.141805456
chr19,21569073,21569573,501,*,CD4+_T_Cells,-0.232780869,171454,chr19,21395119,21397618,2500,*,CD4+_T_Cells,ZNF493,protein_coding,FALSE,-0.040594626
chr7,73235142,73235642,501,*,CD4+_T_Cells,-0.203042662,64874,chr7,73300517,73303016,2500,*,CD4+_T_Cells,NSUN5,protein_coding,FALSE,0.035766096
chr1,66335877,66336377,501,*,CD4+_T_Cells,-0.181367706,542863,chr1,65790514,65793013,2500,*,CD4+_T_Cells,PDE4B,protein_coding,FALSE,-0.042212561
chr22,50469788,50470288,501,*,CD4+_T_Cells,0.153320873,24288,chr22,50443000,50445499,2500,*,CD4+_T_Cells,SBF1,protein_coding,FALSE,-0.083380069
chr1,120844574,120845074,501,*,CD4+_T_Cells,0.340871852,66200,chr1,120911275,120913774,2500,*,CD4+_T_Cells,LINC00623,lincRNA,FALSE,0.070057558
chr1,149886053,149886553,501,*,CD4+_T_Cells,-0.243902006,0,chr1,149884975,149887474,2500,*,CD4+_T_Cells,HIST2H2AC,protein_coding,FALSE,0.001516653
chr8,19511048,19511548,501,*,CD4+_T_Cells,0.219050933,106387,chr8,19402161,19404660,2500,*,CD4+_T_Cells,CSGALNACT1,protein_coding,FALSE,0.017832905
chr20,45910785,45911285,501,*,CD4+_T_Cells,-0.236633715,20141,chr20,45888144,45890643,2500,*,CD4+_T_Cells,CTSA,protein_coding,FALSE,0.023450462
chr8,1759982,1760482,501,*,CD4+_T_Cells,-0.261621342,1144736,chr8,612746,615245,2500,*,CD4+_T_Cells,ERICH1,protein_coding,FALSE,-0.022780382
chr4,121696831,121697331,501,*,CD4+_T_Cells,-0.271902673,28376,chr4,121665955,121668454,2500,*,CD4+_T_Cells,ANXA5,protein_coding,FALSE,0.016444508
chr19,1021523,1022023,501,*,CD4+_T_Cells,-0.145168169,2557,chr19,1024581,1027080,2500,*,CD4+_T_Cells,CNN2,protein_coding,FALSE,0.051210097
chr7,63926152,63926652,501,*,CD4+_T_Cells,-0.180845672,737430,chr7,64664083,64666582,2500,*,CD4+_T_Cells,ZNF107,protein_coding,FALSE,0.012669803
chr8,688104,688604,501,*,CD4+_T_Cells,-0.352174608,72858,chr8,612746,615245,2500,*,CD4+_T_Cells,ERICH1,protein_coding,FALSE,-0.022780382
chr6,26157043,26157543,501,*,CD4+_T_Cells,-0.254587447,189,chr6,26154354,26156853,2500,*,CD4+_T_Cells,HIST1H1E,protein_coding,FALSE,-0.240106153
chr20,21548192,21548692,501,*,CD4+_T_Cells,0.219088393,244388,chr20,21301304,21303803,2500,*,CD4+_T_Cells,XRN2,protein_coding,FALSE,0.030113046
chr20,30376776,30377276,501,*,CD4+_T_Cells,0.225115204,1135151,chr20,31512428,31514927,2500,*,CD4+_T_Cells,HM13,protein_coding,FALSE,-0.027724587
chr11,128422505,128423005,501,*,CD4+_T_Cells,0.237715441,33755,chr11,128456761,128459260,2500,*,CD4+_T_Cells,ETS1,protein_coding,FALSE,0.150878758
chr6,27893005,27893505,501,*,CD4+_T_Cells,-0.132626673,226289,chr6,28119795,28122294,2500,*,CD4+_T_Cells,ZSCAN16-AS1,antisense,FALSE,0.007067222
chr17,14205905,14206405,501,*,CD4+_T_Cells,-0.298686924,1768154,chr17,15974560,15977059,2500,*,CD4+_T_Cells,ZSWIM7,protein_coding,FALSE,-0.010004587
chr7,26864452,26864952,501,*,CD4+_T_Cells,-0.243840324,228694,chr7,27093647,27096146,2500,*,CD4+_T_Cells,HOTAIRM1,antisense,FALSE,0.034438187
chr8,70631291,70631791,501,*,CD4+_T_Cells,0.316584646,57349,chr8,70571442,70573941,2500,*,CD4+_T_Cells,TRAM1,protein_coding,FALSE,0.026450124
chr16,679687,680187,501,*,CD4+_T_Cells,0.205177454,0,chr16,678224,680723,2500,*,CD4+_T_Cells,STUB1,protein_coding,FALSE,0.030821251
chr5,134086922,134087422,501,*,CD4+_T_Cells,0.178811405,25288,chr5,134112711,134115210,2500,*,CD4+_T_Cells,TCF7,protein_coding,FALSE,0.00775432
chr5,147782494,147782994,501,*,CD4+_T_Cells,0.203886563,1040250,chr5,148823245,148825744,2500,*,CD4+_T_Cells,ADRB2,protein_coding,FALSE,0.111349376
chr1,148522460,148522960,501,*,CD4+_T_Cells,-0.132209204,158965,chr1,148360995,148363494,2500,*,CD4+_T_Cells,LINC01138,lincRNA,FALSE,0.129486258
chr10,11163095,11163595,501,*,CD4+_T_Cells,0.164102191,364198,chr10,10796397,10798896,2500,*,CD4+_T_Cells,CELF2,protein_coding,FALSE,-0.024960028
chr1,2234324,2234824,501,*,CD4+_T_Cells,-0.203780183,49363,chr1,2182461,2184960,2500,*,CD4+_T_Cells,FAAP20,protein_coding,FALSE,-0.025352847
chr5,119267892,119268392,501,*,CD4+_T_Cells,0.204692008,0,chr5,119266692,119269191,2500,*,CD4+_T_Cells,TNFAIP8,protein_coding,FALSE,0.008313113
chr1,2231824,2232324,501,*,CD4+_T_Cells,-0.206736735,46863,chr1,2182461,2184960,2500,*,CD4+_T_Cells,FAAP20,protein_coding,FALSE,-0.025352847
chr18,712494,712994,501,*,CD4+_T_Cells,-0.210596349,41670,chr18,668324,670823,2500,*,CD4+_T_Cells,ENOSF1,protein_coding,FALSE,-0.024004316
chr7,5144320,5144820,501,*,CD4+_T_Cells,-0.178395346,43367,chr7,5188188,5190687,2500,*,CD4+_T_Cells,WIPI2,protein_coding,FALSE,-0.065183424
chr16,74368011,74368511,501,*,CD4+_T_Cells,0.161357803,70736,chr16,74294775,74297274,2500,*,CD4+_T_Cells,PSMD7,protein_coding,FALSE,0.01474443
chr17,78252181,78252681,501,*,CD4+_T_Cells,0.217443975,83123,chr17,78166558,78169057,2500,*,CD4+_T_Cells,SYNGR2,protein_coding,FALSE,0.037163225
chr9,127396641,127397141,501,*,CD4+_T_Cells,-0.154749591,316924,chr9,127714066,127716565,2500,*,CD4+_T_Cells,TTC16,protein_coding,FALSE,-0.010039484
chr1,149887267,149887767,501,*,CD4+_T_Cells,-0.242178189,0,chr1,149884975,149887474,2500,*,CD4+_T_Cells,HIST2H2AC,protein_coding,FALSE,0.001516653
chr1,11908362,11908862,501,*,CD4+_T_Cells,-0.169737106,8728,chr1,11917591,11920090,2500,*,CD4+_T_Cells,KIAA2013,protein_coding,FALSE,0.022086118
chr7,63900505,63901005,501,*,CD4+_T_Cells,-0.196027046,763077,chr7,64664083,64666582,2500,*,CD4+_T_Cells,ZNF107,protein_coding,FALSE,0.012669803
chr2,43131035,43131535,501,*,CD4+_T_Cells,0.16887985,88866,chr2,43220402,43222901,2500,*,CD4+_T_Cells,ZFP36L2,protein_coding,FALSE,0.282136696
chr6,32609749,32610249,501,*,CD4+_T_Cells,-0.178461628,209583,chr6,32819833,32822332,2500,*,CD4+_T_Cells,TAP2,protein_coding,FALSE,-0.002640663
chr5,87340618,87341118,501,*,CD4+_T_Cells,0.299046535,48375,chr5,87389494,87391993,2500,*,CD4+_T_Cells,CCNH,protein_coding,FALSE,0.069130827
chr14,96126275,96126775,501,*,CD4+_T_Cells,0.23527778,372657,chr14,96499433,96501932,2500,*,CD4+_T_Cells,PAPOLA,protein_coding,FALSE,-0.012040061
chr7,44914954,44915454,501,*,CD4+_T_Cells,0.29519465,45207,chr7,44960662,44963161,2500,*,CD4+_T_Cells,MYO1G,protein_coding,FALSE,-0.011427491
chr9,4596551,4597051,501,*,CD4+_T_Cells,0.222565975,80507,chr9,4677559,4680058,2500,*,CD4+_T_Cells,CDC37L1,protein_coding,FALSE,0.014866862
chr21,29449204,29449704,501,*,CD4+_T_Cells,0.249241939,254633,chr21,29192071,29194570,2500,*,CD4+_T_Cells,BACH1,protein_coding,FALSE,-0.005585872
chr12,131536310,131536810,501,*,CD4+_T_Cells,0.299594409,172270,chr12,131709081,131711580,2500,*,CD4+_T_Cells,SFSWAP,protein_coding,FALSE,0.009826668
chr1,84944359,84944859,501,*,CD4+_T_Cells,-0.225409269,303093,chr1,85247953,85250452,2500,*,CD4+_T_Cells,C1orf52,protein_coding,FALSE,-0.030221266
chr18,13137884,13138384,501,*,CD4+_T_Cells,-0.174085364,77113,chr18,13215498,13217997,2500,*,CD4+_T_Cells,LDLRAD4,protein_coding,FALSE,-0.113800507
chr12,7960634,7961134,501,*,CD4+_T_Cells,-0.14086415,40904,chr12,7917230,7919729,2500,*,CD4+_T_Cells,SLC2A3,protein_coding,FALSE,-0.265648026
chr11,72822081,72822581,501,*,CD4+_T_Cells,0.242373787,7273,chr11,72812308,72814807,2500,*,CD4+_T_Cells,ATG16L2,protein_coding,FALSE,-0.005140367
chr6,26123766,26124266,501,*,CD4+_T_Cells,-0.107379208,0,chr6,26122145,26124644,2500,*,CD4+_T_Cells,HIST1H2AC,protein_coding,FALSE,-0.042698295
chr21,33947686,33948186,501,*,CD4+_T_Cells,0.170954036,31652,chr21,33913534,33916033,2500,*,CD4+_T_Cells,LINC00649,antisense,FALSE,0.006165522
chr21,45301983,45302483,501,*,CD4+_T_Cells,0.264638344,227630,chr21,45071853,45074352,2500,*,CD4+_T_Cells,ADARB1,protein_coding,FALSE,-0.012173576
chr7,41881505,41882005,501,*,CD4+_T_Cells,-0.202243597,1032851,chr7,42914857,42917356,2500,*,CD4+_T_Cells,PSMA2,protein_coding,FALSE,0.025995708
chr6,26198654,26199154,501,*,CD4+_T_Cells,-0.261481903,1314,chr6,26194840,26197339,2500,*,CD4+_T_Cells,HIST1H3D,protein_coding,FALSE,-0.034393293
chr16,84759112,84759612,501,*,CD4+_T_Cells,0.264720771,58634,chr16,84697978,84700477,2500,*,CD4+_T_Cells,USP10,protein_coding,FALSE,0.051351374
chr7,139635795,139636295,501,*,CD4+_T_Cells,-0.212705531,73725,chr7,139559570,139562069,2500,*,CD4+_T_Cells,HIPK2,protein_coding,FALSE,-0.005781195
chr15,65304702,65305202,501,*,CD4+_T_Cells,-0.154873401,135260,chr15,65440463,65442962,2500,*,CD4+_T_Cells,DPP8,protein_coding,FALSE,-0.015144808
chr6,125749303,125749803,501,*,CD4+_T_Cells,-0.220848619,29357,chr6,125779161,125781660,2500,*,CD4+_T_Cells,NCOA7,protein_coding,FALSE,-0.062280473
chr17,68258947,68259447,501,*,CD4+_T_Cells,-0.186996611,10873,chr17,68245574,68248073,2500,*,CD4+_T_Cells,AMZ2,protein_coding,FALSE,0.015808492
chr16,24014180,24014680,501,*,CD4+_T_Cells,0.266741584,177679,chr16,23834001,23836500,2500,*,CD4+_T_Cells,PRKCB,protein_coding,FALSE,0.079673585
chr10,61867881,61868381,501,*,CD4+_T_Cells,-0.207777134,30918,chr10,61899300,61901799,2500,*,CD4+_T_Cells,ARID5B,protein_coding,FALSE,-0.213276253
chr6,26055705,26056205,501,*,CD4+_T_Cells,-0.214799717,0,chr6,26053787,26056286,2500,*,CD4+_T_Cells,HIST1H1C,protein_coding,FALSE,0.199707824
chr20,59149817,59150317,501,*,CD4+_T_Cells,0.161193924,25936,chr20,59121381,59123880,2500,*,CD4+_T_Cells,ZNF831,protein_coding,FALSE,-0.016170087
chr22,46749205,46749705,501,*,CD4+_T_Cells,-0.263199223,10911,chr22,46760617,46763116,2500,*,CD4+_T_Cells,TBC1D22A,protein_coding,FALSE,-0.010899083
chr2,134181186,134181686,501,*,CD4+_T_Cells,0.262543175,60703,chr2,134117983,134120482,2500,*,CD4+_T_Cells,MGAT5,protein_coding,FALSE,-0.019795605
chr19,50328981,50329481,501,*,CD4+_T_Cells,-0.097701925,0,chr19,50327653,50330152,2500,*,CD4+_T_Cells,NR1H2,protein_coding,FALSE,0.004505666
chr5,159412208,159412708,501,*,CD4+_T_Cells,0.195755459,254299,chr5,159155409,159157908,2500,*,CD4+_T_Cells,RNF145,protein_coding,FALSE,0.07557024
chr21,29076658,29077158,501,*,CD4+_T_Cells,0.158904795,20353,chr21,29053805,29056304,2500,*,CD4+_T_Cells,CCT8,protein_coding,FALSE,0.07341868
chr3,15271741,15272241,501,*,CD4+_T_Cells,0.155492113,16388,chr3,15252853,15255352,2500,*,CD4+_T_Cells,SH3BP5,protein_coding,FALSE,-0.016776261
chr3,45869999,45870499,501,*,CD4+_T_Cells,0.144572443,180443,chr3,45687056,45689555,2500,*,CD4+_T_Cells,SACM1L,protein_coding,FALSE,-0.013276521
chr6,26216468,26216968,501,*,CD4+_T_Cells,-0.1037397,15299,chr6,26232268,26234767,2500,*,CD4+_T_Cells,HIST1H1D,protein_coding,FALSE,-0.094472051
chr1,149585576,149586076,501,*,CD4+_T_Cells,0.260716333,298898,chr1,149884975,149887474,2500,*,CD4+_T_Cells,HIST2H2AC,protein_coding,FALSE,0.001516653
chr1,16513477,16513977,501,*,CD4+_T_Cells,-0.208141679,72305,chr1,16438672,16441171,2500,*,CD4+_T_Cells,NECAP2,protein_coding,FALSE,-0.021600623
chr5,176647089,176647589,501,*,CD4+_T_Cells,-0.117670532,119892,chr5,176524697,176527196,2500,*,CD4+_T_Cells,RNF44,protein_coding,FALSE,-0.019327456
chr10,71756833,71757333,501,*,CD4+_T_Cells,0.204785556,56964,chr10,71814298,71816797,2500,*,CD4+_T_Cells,PSAP,protein_coding,FALSE,0.041352795
chr7,63900003,63900503,501,*,CD4+_T_Cells,-0.209558323,763579,chr7,64664083,64666582,2500,*,CD4+_T_Cells,ZNF107,protein_coding,FALSE,0.012669803
chr12,47216233,47216733,501,*,CD4+_T_Cells,-0.22224515,9835,chr12,47203898,47206397,2500,*,CD4+_T_Cells,PCED1B-AS1,processed_transcript,FALSE,-0.015957306
chr18,24397754,24398254,501,*,CD4+_T_Cells,-0.212020732,404481,chr18,23990773,23993272,2500,*,CD4+_T_Cells,TTC39C,protein_coding,FALSE,0.014023854
chr16,29594470,29594970,501,*,CD4+_T_Cells,-0.249255398,66008,chr16,29660979,29663478,2500,*,CD4+_T_Cells,SPN,protein_coding,FALSE,-0.019593048
chr19,39409911,39410411,501,*,CD4+_T_Cells,-0.188453343,2598,chr19,39404813,39407312,2500,*,CD4+_T_Cells,ZFP36,protein_coding,FALSE,-0.142378213
chr11,67484142,67484642,501,*,CD4+_T_Cells,0.18085795,601,chr11,67481041,67483540,2500,*,CD4+_T_Cells,AIP,protein_coding,FALSE,-0.086690881
chr6,158686802,158687302,501,*,CD4+_T_Cells,0.144876223,36288,chr6,158648014,158650513,2500,*,CD4+_T_Cells,SYTL3,protein_coding,FALSE,-0.033852175
chr6,26234736,26235236,501,*,CD4+_T_Cells,-0.181698278,0,chr6,26232268,26234767,2500,*,CD4+_T_Cells,HIST1H1D,protein_coding,FALSE,-0.094472051
chr4,88007369,88007869,501,*,CD4+_T_Cells,-0.23179312,247750,chr4,88255620,88258119,2500,*,CD4+_T_Cells,PPM1K,protein_coding,FALSE,0.018104105
chr14,21308641,21309141,501,*,CD4+_T_Cells,-0.125415583,40330,chr14,21349472,21351971,2500,*,CD4+_T_Cells,SUPT16H,protein_coding,FALSE,0.018392614
chr1,28648649,28649149,501,*,CD4+_T_Cells,-0.121746171,58826,chr1,28587323,28589822,2500,*,CD4+_T_Cells,TAF12,protein_coding,FALSE,-0.01384508
chr1,182259427,182259927,501,*,CD4+_T_Cells,0.211162757,119776,chr1,182379704,182382203,2500,*,CD4+_T_Cells,GLUL,protein_coding,FALSE,0.01300674
chr19,17334614,17335114,501,*,CD4+_T_Cells,-0.111509643,24596,chr19,17307518,17310017,2500,*,CD4+_T_Cells,DDA1,protein_coding,FALSE,0.01271347
chr9,126397108,126397608,501,*,CD4+_T_Cells,0.196258486,959215,chr9,125435393,125437892,2500,*,CD4+_T_Cells,MAPKAP1,protein_coding,FALSE,-0.028939636
chr1,148334270,148334770,501,*,CD4+_T_Cells,-0.169973026,26224,chr1,148360995,148363494,2500,*,CD4+_T_Cells,LINC01138,lincRNA,FALSE,0.051884356
chr16,17364268,17364768,501,*,CD4+_T_Cells,0.14828767,1414191,chr16,15947577,15950076,2500,*,CD4+_T_Cells,ABCC1,protein_coding,FALSE,0.019599502
chr19,12792512,12793012,501,*,CD4+_T_Cells,-0.213403647,516,chr19,12789496,12791995,2500,*,CD4+_T_Cells,JUNB,protein_coding,FALSE,0.025063412
chr18,63199888,63200388,501,*,CD4+_T_Cells,-0.19188028,76042,chr18,63121346,63123845,2500,*,CD4+_T_Cells,BCL2,protein_coding,FALSE,0.067218094
chr9,178943,179443,501,*,CD4+_T_Cells,0.254680394,33410,chr9,212854,215353,2500,*,CD4+_T_Cells,DOCK8,protein_coding,FALSE,0.018186806
chr12,120291088,120291588,501,*,CD4+_T_Cells,-0.221878664,80149,chr12,120208439,120210938,2500,*,CD4+_T_Cells,PXN,protein_coding,FALSE,-0.06370861
chr17,41338947,41339447,501,*,CD4+_T_Cells,0.120128571,347437,chr17,41686885,41689384,2500,*,CD4+_T_Cells,EIF1,protein_coding,FALSE,-0.08449149
chr10,6583333,6583833,501,*,CD4+_T_Cells,-0.243658408,2414,chr10,6578419,6580918,2500,*,CD4+_T_Cells,PRKCQ-AS1,processed_transcript,FALSE,0.152017883
chr2,111122299,111122799,501,*,CD4+_T_Cells,-0.188244014,71550,chr2,111194350,111196849,2500,*,CD4+_T_Cells,MIR4435-2HG,lincRNA,FALSE,-0.119409854
chr17,46579758,46580258,501,*,CD4+_T_Cells,0.209282881,8410,chr17,46588669,46591168,2500,*,CD4+_T_Cells,NSF,protein_coding,FALSE,-0.083853967
chr9,89502006,89502506,501,*,CD4+_T_Cells,-0.15935522,140719,chr9,89358787,89361286,2500,*,CD4+_T_Cells,SEMA4D,protein_coding,FALSE,-0.066005893
